"Country","Date Month","Client","Uniques","Time Watched Minutes","Avg Min per Unique","Video Starts","Sessions"
"Tanzania","Jun-2024","Canela",19,0.7166666666666667,0.037719298245614034,2,21
"Tanzania","Mar-2024","Canela",6,0,0,0,237
"Tanzania","May-2024","Canela",18,0,0,0,63
"Tanzania","Nov-2024","Canela",5,0,0,0,6
"Tanzania","Oct-2024","Canela",12,0,0,0,15
"Tanzania","Sep-2024","Canela",7,0,0,0,12
"Thailand","Apr-2024","Canela",33,0,0,0,62
"Thailand","Aug-2024","Canela",36,0,0,0,83
"Thailand","Dec-2024","Canela",4,0,0,0,41
"Thailand","Feb-2024","Canela",17,2.933333333333333,0.17254901960784313,2,20
"Thailand","Jan-2024","Canela",17,240.5,14.147058823529411,8,32
"Thailand","Jan-2025","Canela",6,0,0,0,9
"Thailand","Jul-2024","Canela",43,0,0,0,101
"Thailand","Jun-2024","Canela",53,0,0,0,64
"Thailand","Mar-2024","Canela",20,0,0,1,22
"Thailand","May-2024","Canela",27,0,0,0,33
"Thailand","Nov-2024","Canela",17,0,0,0,27
"Thailand","Oct-2024","Canela",34,0,0,0,74
"Thailand","Sep-2024","Canela",24,1.6,0.06666666666666667,3,57
"Timor-Leste","Apr-2024","Canela",1,0,0,0,1
"Timor-Leste","Aug-2024","Canela",1,0,0,0,2
"Timor-Leste","Dec-2024","Canela",1,0,0,0,1
"Timor-Leste","Feb-2024","Canela",1,76.35,76.35,7,11
"Timor-Leste","Jan-2024","Canela",1,0,0,0,1
"Timor-Leste","Jan-2025","Canela",1,0,0,0,1
"Timor-Leste","Jul-2024","Canela",5,0,0,0,7
"Timor-Leste","Jun-2024","Canela",9,0,0,2,18
"Timor-Leste","May-2024","Canela",3,0,0,0,5
"Timor-Leste","Nov-2024","Canela",1,0,0,0,1
"Togo","Apr-2024","Canela",32,85.13333333333334,2.660416666666667,6,49
"Togo","Aug-2024","Canela",46,0,0,0,84
"Togo","Dec-2024","Canela",7,0,0,0,13
"Togo","Feb-2024","Canela",28,11.05,0.3946428571428572,7,39
"Togo","Jan-2024","Canela",7,4,0.5714285714285714,2,11
"Togo","Jan-2025","Canela",2,0,0,0,3
"Togo","Jul-2024","Canela",44,0.36666666666666664,0.008333333333333333,1,129
"Togo","Jun-2024","Canela",48,11.5,0.23958333333333334,3,93
"Togo","Mar-2024","Canela",5,0,0,1,7
"Togo","May-2024","Canela",31,643.3,20.751612903225805,22,67
"Togo","Nov-2024","Canela",8,0,0,0,9
"Togo","Oct-2024","Canela",22,0,0,0,44
"Togo","Sep-2024","Canela",23,0,0,0,36
"Tonga","Feb-2024","Canela",1,0,0,0,1
"Tonga","Jun-2024","Canela",2,0,0,0,22
"Tonga","Nov-2024","Canela",1,0,0,0,1
"Trinidad and Tobago","Apr-2024","Canela",121,1.3833333333333333,0.011432506887052342,1,644
